trip_id,driver_id,metro_num
171592,1,1
171595,1,1
171597,1,1
199521,2,1
199524,2,1
210704,1,1
229057,1,1
257004,2,1
298329,2,1
308219,2,1
310527,2,1
310530,2,1
310535,2,1
362020,2,1
1676,76,2
1690,11,2
6796,36,2
6798,98,2
6800,34,2
6806,61,2
12746,4,2
12761,19,2
12778,106,2
12789,29,2
12792,39,2
12862,82,2
12877,3,2
12889,6,2
12906,42,2
12943,12,2
12947,66,2
12959,50,2
12969,69,2
13018,58,2
13030,6,2
13045,68,2
14754,80,2
18603,109,2
18605,104,2
19033,117,2
19037,46,2
19039,39,2
19053,40,2
20257,100,2
20263,49,2
20283,33,2
21115,10,2
21128,57,2
21580,62,2
23839,63,2
26990,42,2
27007,32,2
28739,85,2
28743,74,2
28746,121,2
29215,51,2
29227,83,2
29269,75,2
29374,89,2
29376,49,2
29515,13,2
29567,37,2
29957,88,2
29974,13,2
29978,75,2
33534,19,2
34585,65,2
34598,65,2
34616,24,2
35014,95,2
38368,79,2
41476,114,2
41516,114,2
44770,108,2
44771,108,2
44772,97,2
44773,97,2
44775,108,2
44777,108,2
44778,108,2
48341,47,2
48346,43,2
48348,84,2
48350,16,2
48351,110,2
51015,52,2
55919,61,2
55937,4,2
60804,81,2
64457,80,2
64492,13,2
64496,98,2
67075,99,2
68024,76,2
68616,73,2
68618,30,2
68696,67,2
68700,53,2
70454,30,2
70472,82,2
70480,102,2
70494,50,2
71942,43,2
72453,102,2
72459,50,2
72474,69,2
73201,42,2
73251,31,2
75890,6,2
75896,58,2
75912,45,2
76130,50,2
76136,69,2
77040,120,2
79187,116,2
79188,81,2
79370,30,2
79374,91,2
81030,121,2
81031,74,2
81072,76,2
81073,76,2
81074,65,2
81077,76,2
81081,76,2
81082,76,2
81085,76,2
81298,52,2
81300,59,2
81301,59,2
81302,59,2
82580,31,2
82592,31,2
82599,99,2
86913,81,2
88703,18,2
94536,9,2
95596,49,2
95669,113,2
95671,95,2
95688,102,2
95862,48,2
95864,103,2
95865,100,2
96163,82,2
96168,113,2
96393,21,2
96413,93,2
96414,98,2
96428,41,2
97726,34,2
97779,33,2
98064,67,2
98412,9,2
98414,48,2
98415,16,2
98416,28,2
98418,103,2
103261,19,2
103265,103,2
104380,36,2
104382,61,2
109669,95,2
110200,75,2
110203,75,2
110219,83,2
110222,63,2
110225,21,2
125140,50,2
125143,50,2
125146,50,2
125148,72,2
125283,73,2
125292,73,2
125316,90,2
125321,82,2
126372,37,2
126382,55,2
127898,13,2
127907,64,2
128527,29,2
128908,65,2
128914,76,2
128935,60,2
128940,60,2
128946,60,2
128952,11,2
129199,120,2
129201,89,2
130304,82,2
130503,121,2
130505,103,2
133059,84,2
133069,115,2
133070,47,2
134352,7,2
134353,15,2
134354,121,2
134355,22,2
134357,120,2
134361,120,2
134362,15,2
134363,121,2
137247,81,2
138364,43,2
138365,96,2
138368,115,2
138371,96,2
138372,86,2
140873,13,2
141394,49,2
146233,66,2
146234,12,2
146237,25,2
146238,73,2
146288,116,2
146297,116,2
146983,74,2
146984,7,2
148061,53,2
148101,89,2
149372,113,2
150180,64,2
150895,102,2
151548,113,2
153401,94,2
153413,71,2
153427,101,2
154150,32,2
155194,69,2
155262,33,2
155264,82,2
156905,78,2
156911,26,2
156914,5,2
156919,29,2
158442,44,2
158443,39,2
158445,43,2
159838,121,2
159848,66,2
161763,52,2
163975,112,2
165292,73,2
166167,29,2
169808,83,2
169909,74,2
169910,15,2
169912,22,2
169913,25,2
169914,120,2
169918,35,2
171424,87,2
171425,87,2
171426,86,2
171427,14,2
171431,25,2
171433,87,2
171434,121,2
171435,86,2
171444,101,2
171446,56,2
171467,69,2
172348,93,2
172350,18,2
172727,93,2
173675,13,2
173684,88,2
174190,31,2
176264,100,2
177234,106,2
179201,34,2
180801,52,2
180804,113,2
181479,41,2
183500,35,2
183502,66,2
184365,20,2
184367,57,2
184369,122,2
185870,68,2
185871,68,2
187615,41,2
187660,48,2
187666,43,2
187671,96,2
187672,84,2
189970,121,2
189971,35,2
189975,121,2
189982,66,2
190016,79,2
190672,81,2
194390,26,2
194391,110,2
194392,119,2
